,block,street_name_original,address_original,street_name,full_address,processed_address,longitude,latitude,nearst_mrt,distance_nearst_mrt,nearst_mall,distance_nearst_mall,dist_to_CBD
3983,151,PETIR RD,151 PETIR RD,PETIR ROAD          ,151 PETIR ROAD         Singapore,151 PETIR ROAD        ,103.7661648,1.3772024999999999,Bukit Panjang mrt station,0.612102309,Hillion Mall,0.34057939600000003,13.71805565004836
3984,17,TOH YI DR,17 TOH YI DR,TOH YI DR        ,17 TOH YI DR       Singapore,17 TOH YI DR      ,103.7724115,1.3398004,Beauty World mrt station,0.390630666,Beauty World Centre,0.538820575,10.530737652754175
3985,4,TOH YI DR,4 TOH YI DR,TOH YI DR        ,4 TOH YI DR       Singapore,4 TOH YI DR      ,103.7747655,1.3384688,Beauty World mrt station,0.290313596,Beauty World Centre,0.471144545,10.230845736416603
3986,3,TOH YI DR,3 TOH YI DR,TOH YI DR        ,3 TOH YI DR       Singapore,3 TOH YI DR      ,103.7752181,1.3387591,Beauty World mrt station,0.244089513,Beauty World Centre,0.422055351,10.206315845797263
3987,351,UBI AVE 1,351 UBI AVE 1,UBI AVE 1        ,351 UBI AVE 1       Singapore,351 UBI AVE 1      ,103.90075999999999,1.3255966000000001,Ubi mrt station,0.4927769,Singapore Post Centre,1.008185528,6.858180192835716
3988,670,HOUGANG AVE 8,670 HOUGANG AVE 8,HOUGANG AVE 8        ,670 HOUGANG AVE 8       Singapore,670 HOUGANG AVE 8      ,103.88481180000001,1.3729846,Hougang mrt station,0.879347407,Hougang 1,0.678537543,10.095284556416217
3989,501,JURONG WEST ST 51,501 JURONG WEST ST 51,JURONG WEST ST 51      ,501 JURONG WEST ST 51     Singapore,501 JURONG WEST ST 51    ,103.719164,1.3500718,Lakeside mrt station,0.6959296540000001,Boon Lay Shopping Centre,0.856670158,16.279348198974347
3990,152,YUNG HO RD,152 YUNG HO RD,YUNG HO ROAD        ,152 YUNG HO ROAD       Singapore,152 YUNG HO ROAD      ,103.7202737,1.3274286,Lakeside mrt station,1.84281168,Taman Jurong Shopping Centre,0.815661601,15.272918879753844
3991,839,JURONG WEST ST 81,839 JURONG WEST ST 81,JURONG WEST ST 81      ,839 JURONG WEST ST 81     Singapore,839 JURONG WEST ST 81    ,103.6926761,1.3436329,Pioneer mrt station,0.8109678359999999,Pioneer Mall,0.556352699,18.747000971922414
3992,412,PASIR RIS DR 6,412 PASIR RIS DR 6,PASIR RIS DR 6      ,412 PASIR RIS DR 6     Singapore,412 PASIR RIS DR 6    ,103.95505229999999,1.3734465,Pasir Ris mrt station,0.639944245,Downtown East,0.464867525,14.88117639994115
