,shopping Mall,address,longitude,latitude
148,Jem,Jem Singapore,103.7433959,1.3332858
149,Westgate Mall,Westgate Mall Singapore,103.7427902,1.3345157
150,Jurong Point,Jurong Point Singapore,103.7061043,1.3400453
151,Pioneer Mall,Pioneer Mall Singapore,103.6973257,1.3417845
152,The Star Vista,The Star Vista Singapore,103.7884236,1.3067634
153,Tiong Bahru Plaza,Tiong Bahru Plaza Singapore,103.8272785,1.2863269
154,Alexandra Central,Alexandra Central Singapore,103.8050545,1.2873346
155,Anchorpoint,Anchorpoint Singapore,103.80518,1.2887273
156,Big Box,Big Box Singapore,103.7447506,1.3318167
157,OD Mall,OD Mall Singapore,103.7932733,1.3388885
158,Boon Lay Shopping Centre,Boon Lay Shopping Centre Singapore,103.712456,1.3462715
159,Grantral Mall,Grantral Mall Singapore,103.765169,1.3142179
160,Fairprice Hub,Fairprice Hub Singapore,103.6788611,1.3271623
161,Gek Poh Shopping Centre,Gek Poh Shopping Centre Singapore,103.6976313,1.3488852
162,Rochester Mall,Rochester Mall Singapore,103.7886411,1.3052643
163,Taman Jurong Shopping Centre,Taman Jurong Shopping Centre Singapore,103.7208868,1.3347793
164,West Coast Plaza,West Coast Plaza Singapore,103.7658891,1.3036372
165,Queensway Shopping Centre,Queensway Shopping Centre Singapore,103.8034753,1.2875972
